Longitude,Latitude,ScientificName,SiteVisitID,Month-year,StartDate,EndDate,SiteID,SiteCode,LocalityDetails,LocationPrecision,ProjectID,ProjectName,OrganisationID,OrganisationName,OrganisationAcronym
152.786,-26.0876,Phascolarctos cinereus,1960923,Mar-18,28/3/2018,,1720047,INCIDENTAL,"148 Tagigan Rd, Goomboorian 4570",100,16599,Koala Action Gympie Region records,3741,Koala Action Gympie Region,KAGR
152.932553,-27.290247,Phascolarctos cinereus,1882289,Apr-18,2/4/2018,2/4/2018,1668180,INCIDENTAL,"2 Edith Court, Cashmere",88,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.8684806,-26.12669722,Phascolarctos cinereus,1508084,Apr-18,2/4/2018,,1338124,INCIDENTAL,"240 Counter Road, Wolvi Qld",100,16599,Koala Action Gympie Region records,3741,Koala Action Gympie Region,KAGR
152.8687889,-26.12685833,Phascolarctos cinereus,1508087,Apr-18,2/4/2018,,1338129,INCIDENTAL,"Wolvi Counter Rd,",100,16599,Koala Action Gympie Region records,3741,Koala Action Gympie Region,KAGR
152.64745,-26.40054167,Phascolarctos cinereus,1508051,Apr-18,2/4/2018,,1338068,INCIDENTAL,"20 Ernst Road, Kandanga",100,16599,Koala Action Gympie Region records,3741,Koala Action Gympie Region,KAGR
152.8682944,-26.12702222,Phascolarctos cinereus,1960829,Apr-18,2/4/2018,,1720085,INCIDENTAL,"In off Counter Road, Wolvi",100,16599,Koala Action Gympie Region records,3741,Koala Action Gympie Region,KAGR
152.107585,-27.666404,Phascolarctos cinereus,1965778,Apr-18,2/4/2018,2/4/2018,1723278,INCIDENTAL,"East Egypt Road, East Egypt",50,17081,Koala Project,3721,Lockyer Uplands Catchments Inc,LUCI
153.087182,-27.520744,Phascolarctos cinereus,1892882,Apr-18,3/4/2018,3/4/2018,1677208,INCIDENTAL,16 Ash Court Mt Gravatt East,25,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
147.9348,-22.1429,Phascolarctos cinereus,1477730,Apr-18,4/4/2018,,1311124,INCIDENTAL,Moranbah,5,103,WildNet Incidental Records,3461,"Department of Environment, Science and Innovation",DES
152.901596,-27.314199,Phascolarctos cinereus,1892546,Apr-18,4/4/2018,4/4/2018,1677217,INCIDENTAL,267 Clear Mtn Rd Clear Mountain,403,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.940529,-27.260015,Phascolarctos cinereus,1892547,Apr-18,4/4/2018,4/4/2018,1677218,INCIDENTAL,33 Vores Rd Whiteside Qld,94,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
153.077626,-27.251814,Phascolarctos cinereus,1892549,Apr-18,6/4/2018,6/4/2018,1677220,INCIDENTAL,46 Essey St Clontarf,20,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.933609,-27.338248,Phascolarctos cinereus,1883923,Apr-18,6/4/2018,6/4/2018,1669170,INCIDENTAL,30 Montego Crt Eatons Hill,68,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.933609,-27.338248,Phascolarctos cinereus,1883923,Apr-18,6/4/2018,6/4/2018,1669170,INCIDENTAL,30 Montego Crt Eatons Hill,68,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.964639,-27.257907,Phascolarctos cinereus,1892550,Apr-18,11/4/2018,11/4/2018,1677221,INCIDENTAL,30 Eyre St Petrie,20,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
