ld,Record No,Koala Name,Date,Year,Call Date Time,LAT,LNG,Adult Fate Other,Adult Size,Adult Gender,Adult Situation,Young Present,Adult Fate,Young Fate Other,Koala Found Address,Koala Post Code,LGA,Sick,Injured,Caused By Dog,Orphaned,Under Threat,Dead,Conjunctivitis,Cystitis,Wasted,Vehicle Hit,Road Speed Limit,Fall,Injury Other,Field Comments
6415,,TYALLA,Apr-22,2022,2022-04-20T00:00:00,-28.14178,153.41265,CWS,Adult (More than 4kg),,On ground,FALSE,Hospital,,6 Tyalla Court,4228,Gold Coast City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6416,,BRANCHALINA,Apr-22,2022,2022-04-21T00:00:00,-28.017,153.3044,CWS,Adult (More than 4kg),,On ground,TRUE,Hospital,CWS - pouch baby,364 Gilston Road,4211,Gold Coast City ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
6424,,JAIME-LEAF CURTIS,Apr-22,2022,2022-04-26T00:00:00,-28.14972,153.44073,CWS,Adult (More than 4kg),,In tree,FALSE,Hospital,,71 Westminster Blvd,4221,Gold Coast City ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
6425,,EATON LEAF,Apr-22,2022,2022-04-26T00:00:00,-28.14385,153.45041,CWS,Adult (More than 4kg),,On ground,FALSE,Hospital,,76 Simpsons Road,4223,Gold Coast City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,FALSE,,
6427,,MICKEY BENSON,Apr-22,2022,2022-04-28T00:00:00,-28.17144,153.42259,CWS,Adult (More than 4kg),,On ground,FALSE,Hospital,,463 Trees Road,4228,Gold Coast City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6388,A 75435,BELINDA,Apr-22,2022,2022-04-03T00:00:00,-27.50607,153.07609,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,Whites Hill Reserve,4152,Brisbane City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
6397,A 76565,BRINA,Apr-22,2022,2022-04-08T00:00:00,-27.51298,153.10993,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,21 Eromanga Street,4152,Brisbane City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6411,A 76754,RHINO,Apr-22,2022,2022-04-19T00:00:00,-27.58561,153.1114,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,294 Priestdale Road,4123,Brisbane City ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,"wound on top of head, suspect fall"
6428,A 76572,CLEO,Apr-22,2022,2022-04-28T00:00:00,-27.5039167,153.0751653,RSPCA,Young (up to 2kg),,Other,FALSE,Hospital,,Boundary Road,4152,Brisbane City ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,70,FALSE,,mum hit by car
6429,A 76757,EVIE,Apr-22,2022,2022-04-29T00:00:00,-27.5039167,153.0751653,RSPCA,Adult (More than 4kg),,On ground,TRUE,Hospital,RSPCA - pouch baby,Boundary Road,4152,Brisbane City ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,70,FALSE,,
6439,A 74253,TERRIE,May-22,2022,2022-05-03T00:00:00,-28.0652587,151.5456163,RSPCA,Adult (More than 4kg),,In tree,FALSE,Hospital,,Bonny Doon Road,4365,Southern Downs Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,
6485,A 71062,DARCY,May-22,2022,2022-05-26T00:00:00,-27.5659118,151.9531458,RSPCA,Adult (More than 4kg),,In captivity,TRUE,Hospital,RSPCA - pouch baby,Scouts Way,4350,Toowoomba Regional ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,,
6461,A 74564,HERMOINE,May-22,2022,2022-05-15T00:00:00,-26.7560401,152.8073226,AWH,Young (up to 2kg),,In captivity,FALSE,Hospital,,184 Reesville Road,4552,Sunshine Coast Regional ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
6484,A 74572,SCHULTZ,May-22,2022,2022-05-25T00:00:00,-26.6876005,152.8210147,AWH,Adult (More than 4kg),,In tree,FALSE,Hospital,,Rose Gun Lane,4552,Sunshine Coast Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6487,A 74574,KARLA,May-22,2022,2022-05-27T00:00:00,-26.7149557,152.7778833,AWH,Sub-Adult (2-4kg),,On ground,FALSE,Hospital,,1020 Maleny Kenilworth Road,4552,Sunshine Coast Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6434,A 76759,JAZZY,May-22,2022,2022-05-02T00:00:00,-27.2360344,152.4242563,RSPCA,Adult (More than 4kg),,In tree,FALSE,Hospital,,,4312,Somerset Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6435,A 76758,MO,May-22,2022,2022-05-02T00:00:00,-27.2352434,152.4229048,RSPCA,Adult (More than 4kg),,In tree,FALSE,Hospital,,Francis Terrace,4312,Somerset Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
6463,A 76577,MEAGHAN,May-22,2022,2022-05-15T00:00:00,-28.0378645,152.6389663,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,300 Mount Alford Road,4310,Scenic Rim Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
6469,A 76580,FRANCINE,May-22,2022,2022-05-19T00:00:00,-27.9885494,152.7020384,RSPCA,Adult (More than 4kg),,In tree,FALSE,Hospital,,4001 Ipswich Boonah Road,4310,Scenic Rim Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,
6471,,SILVIO,May-22,2022,2022-05-21T00:00:00,-28.1659021,153.1961956,CWS,Adult (More than 4kg),,On ground,FALSE,Hospital,,504 Binna Burra Road,4211,Scenic Rim Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
6437,A 72350,OMA,May-22,2022,2022-05-03T00:00:00,-27.4898161,153.2436793,AWH,Adult (More than 4kg),,On ground,FALSE,Hospital,,9 Jacob Street,4160,Redland City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6446,A 72364,LADY TULIP,May-22,2022,2022-05-06T00:00:00,-27.4978535,153.2532292,AWH,Adult (More than 4kg),,In tree,FALSE,Hospital,,45 Hilliard Street,4160,Redland City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,,
6474,A 54192,ABBIE,May-22,2022,2022-05-21T00:00:00,-27.5088745,153.220408,AWH,Adult (More than 4kg),,On ground,TRUE,Hospital,pouch baby,42 Randall Road,4159,Redland City ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
6475,A 74571,MAT,May-22,2022,2022-05-21T00:00:00,-27.5088745,153.220408,AWH,Young (up to 2kg),,Other,FALSE,Hospital,,42 Randall Road,4159,Redland City ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
